id,nombre,partidos_jugados,partidos_titular,goles,asistencias,tarjeta_amarilla,edad,altura,valor,rating,posicion
10358,D. Fernandez,4,1,0,0,0,0,181.82014993130403,1000.0,37,Lateral Izquierdo
10359,J. Zancada,15,6,0,0,3,27,180.4883687788629,1000.0,32,Mediocentro
10360,Higor,16,15,3,0,3,31,189.0,44130.0,50,Delantero Centro
10361,Juanma,30,24,2,0,3,20,179.0,1580.0,39,Extremo Derecho
10362,D. Madera,31,17,2,0,2,24,180.63630984624655,666.65,33,Delantero Centro
10363,Manuel Mulero,21,10,2,0,2,20,180.8336338348538,888.88,36,Extremo Izquierdo
10364,Y. Dabo,13,10,2,0,1,22,188.0,8860.0,36,Portero
10365,Pepe Sainz,20,12,3,0,2,22,180.7354663675604,5540.0,32,Delantero Centro
10366,J. Sanchez,10,3,0,0,3,0,181.82014993130403,1000.0,28,Portero
10367,Ciga,19,19,29,0,6,35,180.0937970705239,1290.0,40,Portero
10368,Alonso,5,5,11,0,0,0,181.8202537747746,2000.0,41,Portero
10369,Fran Malpartida,11,11,18,0,0,20,185.0,500.0,34,Portero
10371,Aitor,30,27,2,0,11,0,181.82042719337053,3670.0,43,Defensa Central
10372,Antonio,32,31,0,0,14,0,181.8204386161523,3780.0,43,Defensa Central
10373,Bodion,29,28,1,0,8,27,180.48868550144826,4050.0,41,Lateral Derecho
10374,A. Zapico,10,4,0,0,3,23,183.0,1000.0,30,Lateral Izquierdo
10375,J. Dominguez,9,0,0,0,0,0,181.82014993130403,1000.0,25,Portero
10376,I. Lopez,9,0,0,0,0,0,181.82014993130403,1000.0,25,Portero
10378,M. Ferrera,32,30,6,0,5,0,181.82055284396998,4880.0,46,CAI
10379,Mati,22,18,2,0,3,35,180.09394245138273,2690.0,46,MP
10380,Jona,29,28,1,0,16,0,181.82042200119702,3620.0,42,Mediocentro
10381,Rifat Savirdin,31,29,5,0,11,23,180.68597499013924,3940.0,35,Mediocentro
10382,Fili,32,27,0,0,9,0,181.82018419964933,1330.0,39,Portero
10383,A. Sandoval,32,29,1,0,7,23,180.68584310893158,2670.0,35,Defensa Central
10384,Botello,23,12,1,0,4,0,181.8201434410871,937.5,34,Mediocentro
10385,Robert,10,4,1,0,1,0,181.82023612138462,1830.0,38,Mediocentro
